orgao_orcamentario,ano,dotacoes,valores
Advocacia-Geral da União,2018,projeto_de_lei,3.69
Advocacia-Geral da União,2018,dotacao_inicial,3.62
Advocacia-Geral da União,2018,dotacao_atual,3.9299999999999997
Advocacia-Geral da União,2018,empenhado,3.91
Advocacia-Geral da União,2018,liquidado,3.7199999999999998
Advocacia-Geral da União,2018,pago,3.4899999999999998
Advocacia-Geral da União,2019,projeto_de_lei,3.8000000000000003
Advocacia-Geral da União,2019,dotacao_inicial,3.8000000000000003
Advocacia-Geral da União,2019,dotacao_atual,4.06
Advocacia-Geral da União,2019,empenhado,3.9499999999999997
Advocacia-Geral da União,2019,liquidado,3.83
Advocacia-Geral da União,2019,pago,3.6
Advocacia-Geral da União,2020,projeto_de_lei,2.4
Advocacia-Geral da União,2020,dotacao_inicial,2.31
Advocacia-Geral da União,2020,dotacao_atual,4.08
Advocacia-Geral da União,2020,empenhado,4.07
Advocacia-Geral da União,2020,liquidado,3.9
Advocacia-Geral da União,2020,pago,3.6500000000000004
Advocacia-Geral da União,2021,projeto_de_lei,1.89
Advocacia-Geral da União,2021,dotacao_inicial,1.88
Advocacia-Geral da União,2021,dotacao_atual,4.12
Advocacia-Geral da União,2021,empenhado,4.11
Advocacia-Geral da União,2021,liquidado,3.94
Advocacia-Geral da União,2021,pago,3.7
Advocacia-Geral da União,2022,projeto_de_lei,4.109999999999999
Advocacia-Geral da União,2022,dotacao_inicial,4.06
Advocacia-Geral da União,2022,dotacao_atual,4.15
Advocacia-Geral da União,2022,empenhado,4.14
Advocacia-Geral da União,2022,liquidado,4.01
Advocacia-Geral da União,2022,pago,3.74
Advocacia-Geral da União,2023,projeto_de_lei,4.22
Advocacia-Geral da União,2023,dotacao_inicial,4.2
Advocacia-Geral da União,2023,dotacao_atual,4.2
Advocacia-Geral da União,2023,empenhado,3.7800000000000002
Advocacia-Geral da União,2023,liquidado,0.8600000000000001
Advocacia-Geral da União,2023,pago,0.62
Agência Nacional de Águas e Saneamento Básico,2018,projeto_de_lei,0.41
Agência Nacional de Águas e Saneamento Básico,2018,dotacao_inicial,0.41
Agência Nacional de Águas e Saneamento Básico,2018,dotacao_atual,0.38
Agência Nacional de Águas e Saneamento Básico,2018,empenhado,0.37
Agência Nacional de Águas e Saneamento Básico,2018,liquidado,0.33
Agência Nacional de Águas e Saneamento Básico,2018,pago,0.32
Agência Nacional de Águas e Saneamento Básico,2019,projeto_de_lei,0.41
Agência Nacional de Águas e Saneamento Básico,2019,dotacao_inicial,0.41
Agência Nacional de Águas e Saneamento Básico,2019,dotacao_atual,0.41
Agência Nacional de Águas e Saneamento Básico,2019,empenhado,0.39
Agência Nacional de Águas e Saneamento Básico,2019,liquidado,0.31
Agência Nacional de Águas e Saneamento Básico,2019,pago,0.3
Agência Nacional de Águas e Saneamento Básico,2020,projeto_de_lei,0.41
Agência Nacional de Águas e Saneamento Básico,2020,dotacao_inicial,0.41
Agência Nacional de Águas e Saneamento Básico,2020,dotacao_atual,0.42
Agência Nacional de Águas e Saneamento Básico,2020,empenhado,0.37
Agência Nacional de Águas e Saneamento Básico,2020,liquidado,0.29
Agência Nacional de Águas e Saneamento Básico,2020,pago,0.28
Agência Nacional de Águas e Saneamento Básico,2021,projeto_de_lei,0.32
Agência Nacional de Águas e Saneamento Básico,2021,dotacao_inicial,0.32
Agência Nacional de Águas e Saneamento Básico,2021,dotacao_atual,0.45
Agência Nacional de Águas e Saneamento Básico,2021,empenhado,0.42
Agência Nacional de Águas e Saneamento Básico,2021,liquidado,0.36
Agência Nacional de Águas e Saneamento Básico,2021,pago,0.35
Agência Nacional de Águas e Saneamento Básico,2022,projeto_de_lei,0.52
Agência Nacional de Águas e Saneamento Básico,2022,dotacao_inicial,0.52
Agência Nacional de Águas e Saneamento Básico,2022,dotacao_atual,0.49
Agência Nacional de Águas e Saneamento Básico,2022,empenhado,0.44
Agência Nacional de Águas e Saneamento Básico,2022,liquidado,0.4
Agência Nacional de Águas e Saneamento Básico,2022,pago,0.38
Agência Nacional de Aviação Civil,2018,projeto_de_lei,0.7400000000000001
Agência Nacional de Aviação Civil,2018,dotacao_inicial,0.7300000000000001
Agência Nacional de Aviação Civil,2018,dotacao_atual,0.7300000000000001
Agência Nacional de Aviação Civil,2018,empenhado,0.56
Agência Nacional de Aviação Civil,2018,liquidado,0.52
Agência Nacional de Aviação Civil,2018,pago,0.49
Agência Nacional de Aviação Civil,2019,projeto_de_lei,0.72
Agência Nacional de Aviação Civil,2019,dotacao_inicial,0.72
Agência Nacional de Aviação Civil,2019,dotacao_atual,0.72
Agência Nacional de Aviação Civil,2019,empenhado,0.53
Agência Nacional de Aviação Civil,2019,liquidado,0.51
Agência Nacional de Aviação Civil,2019,pago,0.48000000000000004
Agência Nacional de Aviação Civil,2020,projeto_de_lei,0.7000000000000001
Agência Nacional de Aviação Civil,2020,dotacao_inicial,0.68
Agência Nacional de Aviação Civil,2020,dotacao_atual,0.6900000000000001
Agência Nacional de Aviação Civil,2020,empenhado,0.5
Agência Nacional de Aviação Civil,2020,liquidado,0.47000000000000003
Agência Nacional de Aviação Civil,2020,pago,0.44
Agência Nacional de Aviação Civil,2021,projeto_de_lei,0.42000000000000004
Agência Nacional de Aviação Civil,2021,dotacao_inicial,0.41000000000000003
Agência Nacional de Aviação Civil,2021,dotacao_atual,0.65
Agência Nacional de Aviação Civil,2021,empenhado,0.49
Agência Nacional de Aviação Civil,2021,liquidado,0.47000000000000003
Agência Nacional de Aviação Civil,2021,pago,0.45
Agência Nacional de Aviação Civil,2022,projeto_de_lei,0.71
Agência Nacional de Aviação Civil,2022,dotacao_inicial,0.71
Agência Nacional de Aviação Civil,2022,dotacao_atual,0.71
Agência Nacional de Aviação Civil,2022,empenhado,0.52
Agência Nacional de Aviação Civil,2022,liquidado,0.5
Agência Nacional de Aviação Civil,2022,pago,0.46
Agência Nacional de Energia Elétrica,2018,projeto_de_lei,2.4699999999999998
Agência Nacional de Energia Elétrica,2018,dotacao_inicial,2.4699999999999998
Agência Nacional de Energia Elétrica,2018,dotacao_atual,1.47
Agência Nacional de Energia Elétrica,2018,empenhado,1.21
Agência Nacional de Energia Elétrica,2018,liquidado,1.15
Agência Nacional de Energia Elétrica,2018,pago,1.14
Agência Nacional de Energia Elétrica,2019,projeto_de_lei,1.56
Agência Nacional de Energia Elétrica,2019,dotacao_inicial,1.58
Agência Nacional de Energia Elétrica,2019,dotacao_atual,1.61
Agência Nacional de Energia Elétrica,2019,empenhado,1.3
Agência Nacional de Energia Elétrica,2019,liquidado,1.25
Agência Nacional de Energia Elétrica,2019,pago,1.24
