ano,codigo_orgao,orgao_orcamentario,co_funcao,funcao,projeto_de_lei,dotacao_inicial,dotacao_atual,empenhado,liquidado,pago
2018,01000,Camara dos Deputados,01,Legislativa,4.3,4.3,4.14,3.81,3.72,3.71
2018,01000,Camara dos Deputados,09,Previdência Social,1.8,1.8,1.78,1.74,1.74,1.74
2018,01000,Camara dos Deputados,28,Encargos Especiais,0,0,0,0,0,0
2018,01000,Camara dos Deputados,99,Reserva de Contingência,0.03,0.03,0,0,0,0
2018,02000,Senado Federal,01,Legislativa,2.37,2.37,2.37,2.23,2.2,2.19
2018,02000,Senado Federal,09,Previdência Social,1.99,1.99,1.99,1.92,1.92,1.92
2018,02000,Senado Federal,28,Encargos Especiais,0,0,0,0,0,0
2018,02000,Senado Federal,99,Reserva de Contingência,0.01,0.01,0.01,0,0,0
2018,03000,Tribunal de Contas da União,01,Legislativa,1.51,1.51,1.44,1.31,1.28,1.28
2018,03000,Tribunal de Contas da União,09,Previdência Social,0.66,0.66,0.73,0.72,0.72,0.72
2018,03000,Tribunal de Contas da União,28,Encargos Especiais,0,0,0,0,0,0
2018,03000,Tribunal de Contas da União,99,Reserva de Contingência,0,0,0,0,0,0
2018,10000,Supremo Tribunal Federal,02,Judiciária,0.56,0.56,0.56,0.52,0.48,0.48
2018,10000,Supremo Tribunal Federal,09,Previdência Social,0.14,0.14,0.15,0.15,0.15,0.15
2018,10000,Supremo Tribunal Federal,28,Encargos Especiais,0,0,0,0,0,0
2018,10000,Supremo Tribunal Federal,99,Reserva de Contingência,0,0,0,0,0,0
2018,11000,Superior Tribunal de Justiça,02,Judiciária,1.21,1.21,1.16,1.1,1.05,1.05
2018,11000,Superior Tribunal de Justiça,09,Previdência Social,0.33,0.33,0.37,0.37,0.37,0.37
2018,11000,Superior Tribunal de Justiça,28,Encargos Especiais,0,0,0,0,0,0
2018,11000,Superior Tribunal de Justiça,99,Reserva de Contingência,0,0,0,0,0,0
2018,12000,Justiça Federal,02,Judiciária,9.97,9.97,10.43,9.94,9.78,9.77
2018,12000,Justiça Federal,09,Previdência Social,1.3,1.3,1.54,1.53,1.53,1.53
2018,12000,Justiça Federal,28,Encargos Especiais,0,0,0,0,0,0
2018,12000,Justiça Federal,99,Reserva de Contingência,0.7,0.7,0,0,0,0
2018,13000,Justiça Militar da União,02,Judiciária,0.35,0.35,0.34,0.32,0.3,0.3
2018,13000,Justiça Militar da União,09,Previdência Social,0.2,0.2,0.21,0.21,0.21,0.21
2018,13000,Justiça Militar da União,99,Reserva de Contingência,0,0,0,0,0,0
2018,14000,Justiça Eleitoral,02,Judiciária,6.9,7.15,7.04,6.34,6.1,6.09
2018,14000,Justiça Eleitoral,09,Previdência Social,0.89,0.89,1,0.99,0.99,0.99
2018,14000,Justiça Eleitoral,28,Encargos Especiais,0.89,0.89,0.89,0.89,0.86,0.86
2018,15000,Justiça do Trabalho,02,Judiciária,16.23,16.23,15.99,15.22,14.98,14.98
2018,15000,Justiça do Trabalho,09,Previdência Social,4.4,4.4,4.87,4.87,4.87,4.87
2018,15000,Justiça do Trabalho,28,Encargos Especiais,0,0,0,0,0,0
2018,15000,Justiça do Trabalho,99,Reserva de Contingência,0.27,0.27,0.04,0,0,0
2018,16000,Justiça do Distrito Federal e dos Territórios,02,Judiciária,2.37,2.37,2.32,2.26,2.23,2.22
2018,16000,Justiça do Distrito Federal e dos Territórios,09,Previdência Social,0.44,0.44,0.49,0.49,0.49,0.49
2018,16000,Justiça do Distrito Federal e dos Territórios,99,Reserva de Contingência,0,0,0,0,0,0
2018,17000,Conselho Nacional de Justiça,02,Judiciária,0.22,0.22,0.22,0.18,0.16,0.16
2018,17000,Conselho Nacional de Justiça,09,Previdência Social,0,0,0,0,0,0
2018,17000,Conselho Nacional de Justiça,99,Reserva de Contingência,0,0,0,0,0,0
2018,20000,Presidência da República,04,Administração,1,0.87,1.03,0.97,0.69,0.67
2018,20000,Presidência da República,06,Segurança Pública,0.36,0.37,1.63,1.58,0.49,0.46
2018,20000,Presidência da República,09,Previdência Social,0.95,0.95,0.96,0.95,0.95,0.89
2018,20000,Presidência da República,14,Direitos da Cidadania,0.05,0.11,0.06,0.05,0.03,0.03
2018,20000,Presidência da República,21,Organização Agrária,1.91,2.34,2.26,2.18,1.39,1.28
2018,20000,Presidência da República,24,Comunicações,0.58,0.58,0.64,0.6,0.51,0.48
2018,20000,Presidência da República,26,Transporte,0.11,0.07,0.07,0.06,0.05,0.05
2018,20000,Presidência da República,28,Encargos Especiais,0.88,0.88,1.08,1.08,1.08,1.08
2018,20000,Presidência da República,99,Reserva de Contingência,0.53,0.54,0.52,0,0,0
2018,22000,Ministério da Agricultura e Pecuária,09,Previdência Social,1.87,1.87,1.96,1.96,1.96,1.8
